iter	Passed	Remaining
1189	227315	345748
1190	227498	345546
1191	227683	345345
1192	227868	345145
1193	228066	344964
1194	228257	344773
1195	228440	344570
1196	228625	344371
1197	228816	344180
1198	229019	344006
1199	229215	343823
1200	229407	343633
1201	229594	343436
1202	229779	343236
1203	229950	343015
1204	230144	342830
1205	230333	342634
1206	230511	342425
1207	230689	342215
1208	230880	342024
1209	231069	341830
1210	231253	341629
1211	231440	341431
1212	231623	341229
1213	231805	341025
1214	232007	340850
1215	232183	340637
1216	232389	340469
1217	232575	340271
1218	232768	340082
1219	232964	339898
1220	233156	339708
1221	233333	339498
1222	233532	339318
1223	233713	339113
1224	233919	338944
1225	234088	338722
1226	234277	338528
1227	234471	338341
1228	234650	338133
1229	234834	337933
1230	235030	337749
1231	235208	337539
1232	235388	337333
1233	235582	337146
1234	235779	336963
1235	235957	336755
1236	236147	336562
1237	236341	336375
1238	236537	336192
1239	236724	335996
1240	236909	335796
1241	237103	335609
1242	237283	335404
1243	237483	335226
1244	237692	335059
1245	237876	334860
1246	238071	334674
1247	238275	334502
1248	238458	334300
1249	238651	334111
1250	238835	333912
1251	239021	333714
1252	239215	333526
1253	239401	333329
1254	239593	333139
1255	239774	332935
1256	239964	332743
1257	240158	332556
1258	240348	332364
1259	240537	332171
1260	240740	331997
1261	240917	331786
1262	241124	331618
1263	241309	331419
1264	241493	331218
1265	241687	331031
1266	241885	330851
1267	242082	330667
1268	242278	330483
1269	242465	330287
1270	242650	330088
1271	242862	329925
1272	243062	329747
1273	243251	329554
1274	243442	329362
1275	243623	329158
1276	243816	328971
1277	243994	328762
1278	244181	328566
1279	244356	328354
1280	244537	328149
1281	244717	327943
1282	244904	327748
1283	245105	327571
1284	245300	327385
1285	245477	327176
1286	245665	326980
1287	245847	326778
1288	246027	326572
1289	246220	326385
1290	246415	326200
1291	246599	325999
1292	246801	325823
1293	246985	325624
1294	247171	325427
1295	247359	325231
1296	247558	325051
1297	247748	324859
1298	247941	324672
1299	248130	324478
1300	248313	324277
1301	248504	324085
1302	248675	323870
1303	248868	323681
1304	249058	323490
1305	249244	323292
1306	249422	323085
1307	249606	322885
1308	249786	322680
1309	249962	322470
1310	250160	322289
1311	250345	322090
1312	250532	321894
1313	250724	321706
1314	250915	321514
1315	251112	321332
1316	251319	321161
1317	251498	320956
1318	251681	320755
1319	251880	320575
1320	252077	320391
1321	252280	320216
1322	252458	320010
1323	252643	319811
1324	252840	319628
1325	253025	319429
1326	253232	319259
1327	253411	319054
1328	253604	318866
1329	253802	318684
1330	253985	318483
1331	254190	318310
1332	254379	318116
1333	254565	317920
1334	254766	317742
1335	254948	317540
1336	255138	317349
1337	255337	317167
1338	255539	316990
1339	255729	316799
1340	255921	316609
1341	256108	316414
1342	256300	316224
1343	256481	316022
1344	256664	315821
1345	256849	315623
1346	257048	315442
1347	257227	315237
1348	257424	315054
1349	257603	314849
1350	257800	314665
1351	257981	314462
1352	258167	314266
1353	258353	314069
1354	258544	313878
1355	258756	313714
1356	258950	313526
1357	259141	313335
1358	259325	313137
1359	259525	312956
1360	259705	312753
1361	259898	312565
1362	260106	312394
1363	260302	312210
1364	260494	312020
1365	260701	311848
1366	260895	311661
1367	261102	311490
1368	261286	311291
1369	261481	311105
1370	261678	310922
1371	261865	310727
1372	262057	310536
1373	262258	310358
1374	262447	310165
1375	262632	309966
1376	262799	309748
1377	262993	309561
1378	263172	309356
1379	263366	309169
1380	263572	308995
1381	263751	308791
1382	263940	308598
1383	264119	308394
1384	264306	308198
1385	264493	308002
1386	264677	307804
1387	264864	307609
1388	265055	307418
1389	265243	307224
1390	265434	307034
1391	265615	306832
1392	265804	306638
1393	265998	306451
1394	266178	306248
1395	266375	306064
1396	266577	305886
1397	266771	305699
1398	266954	305500
1399	267159	305325
1400	267349	305133
1401	267541	304943
1402	267733	304754
1403	267926	304566
1404	268110	304367
1405	268300	304175
1406	268475	303967
1407	268663	303773
1408	268850	303578
1409	269047	303394
1410	269229	303193
1411	269414	302996
1412	269601	302800
1413	269800	302619
1414	269984	302420
1415	270164	302217
1416	270345	302015
1417	270530	301818
1418	270723	301630
1419	270925	301452
1420	271125	301271
1421	271310	301074
1422	271494	300876
1423	271686	300687
1424	271882	300501
1425	272066	300303
1426	272255	300110
1427	272442	299915
1428	272627	299718
1429	272825	299536
1430	273017	299345
1431	273201	299148
1432	273396	298962
1433	273570	298752
1434	273763	298564
1435	273960	298380
1436	274160	298199
1437	274345	298002
1438	274529	297804
1439	274710	297602
1440	274900	297411
1441	275088	297217
1442	275280	297028
1443	275462	296827
1444	275651	296635
1445	275849	296452
1446	276030	296250
1447	276213	296052
1448	276409	295867
1449	276591	295666
1450	276782	295476
1451	276972	295284
1452	277159	295090
1453	277347	294896
1454	277536	294704
1455	277740	294526
1456	277941	294346
1457	278127	294150
1458	278319	293961
1459	278507	293767
1460	278684	293562
1461	278889	293387
1462	279080	293197
1463	279259	292993
1464	279457	292810
1465	279653	292625
1466	279853	292444
1467	280041	292250
1468	280231	292059
1469	280406	291851
1470	280602	291666
1471	280791	291474
1472	280979	291280
1473	281165	291084
1474	281350	290887
1475	281550	290706
1476	281725	290499
1477	281912	290304
1478	282123	290134
1479	282316	289946
1480	282525	289774
1481	282717	289585
1482	282910	289396
1483	283089	289194
1484	283291	289014
1485	283485	288827
1486	283670	288630
1487	283850	288429
1488	284044	288241
1489	284237	288052
1490	284431	287865
1491	284616	287669
1492	284802	287472
1493	284992	287281
1494	285171	287079
1495	285362	286888
1496	285566	286711
1497	285739	286502
1498	285932	286313
1499	286121	286121
1500	286294	285913
1501	286476	285713
1502	286669	285525
1503	286870	285344
1504	287043	285136
1505	287224	284936
1506	287408	284738
1507	287586	284534
1508	287771	284338
1509	287964	284150
1510	288154	283958
1511	288346	283769
1512	288549	283590
1513	288739	283399
1514	288921	283199
1515	289124	283021
1516	289316	282832
1517	289506	282641
1518	289723	282475
1519	289913	282284
1520	290096	282086
1521	290282	281890
1522	290469	281696
1523	290655	281501
1524	290836	281300
1525	291033	281116
1526	291215	280916
1527	291396	280717
1528	291577	280516
1529	291767	280325
1530	291952	280129
1531	292141	279936
1532	292334	279748
1533	292521	279554
1534	292707	279358
1535	292893	279164
1536	293088	278977
1537	293277	278785
1538	293473	278599
1539	293655	278400
1540	293856	278220
1541	294029	278012
1542	294219	277821
1543	294401	277622
1544	294603	277441
1545	294812	277268
1546	294999	277074
1547	295196	276889
1548	295389	276700
1549	295581	276511
1550	295771	276320
1551	295945	276114
1552	296131	275919
1553	296314	275720
1554	296505	275530
1555	296693	275337
1556	296875	275139
1557	297070	274952
1558	297283	274782
1559	297477	274594
1560	297666	274401
1561	297842	274198
1562	298026	274001
1563	298215	273808
1564	298401	273614
1565	298599	273430
1566	298783	273233
1567	298970	273039
1568	299165	272852
1569	299352	272658
1570	299542	272467
1571	299731	272275
1572	299936	272097
1573	300119	271899
1574	300299	271699
1575	300495	271513
1576	300684	271321
1577	300869	271125
